Genotype,Treatment,Weight
StAug2,Control,0.0002
StAug2,Control,0.0605
StAug2,Control,0.0042
StAug2,Control,0.0029
PI493292,Control,0.0072
PI493292,Control,0.01
StAug2,Rhizobia,0.18
StAug2,Rhizobia,0.141
PI493292,Rhizobia,0.2077
PI493292,Rhizobia,0.1699
PI493292,Rhizobia,0.48
StAug2,Soil_Rhizobia,0.0907
StAug2,Soil_Rhizobia,0.2378
StAug2,Soil_Rhizobia,0.277
StAug2,Soil_Rhizobia,0.1815
StAug2,Soil_Rhizobia,0.2243
StAug2,Soil_Rhizobia,0.1183
StAug2,Soil_Rhizobia,0.399
PI493292,Soil_Rhizobia,0.3505
PI493292,Soil_Rhizobia,0.3669
PI493292,Soil_Rhizobia,0.517
PI493292,Soil_Rhizobia,0.3922
PI493292,Soil_Rhizobia,0.3942
PI493292,Soil_Rhizobia,0.718
PI493292,Soil_Rhizobia,0.3477
StAug2,Soil,0.0038
StAug2,Soil,0.003
StAug2,Soil,0.0027
StAug2,Soil,0.1284
PI493292,Soil,0.005
PI493292,Soil,0.0157
PI493292,Soil,0.004
PI493292,Soil,0.1235
